period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-03,weekday,24,NE16/STC,266,2532,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-03,weekend,24,NE16/STC,139,1024,NE16,STC,,True,,,,,16.0,,,,,,,,0.0,Sengkang
2022-03,weekday,17,DT21,9169,3552,DT21,,,False,,,,,,,,21.0,,,,,,Bencoolen
2022-03,weekend,17,DT21,2078,1413,DT21,,,False,,,,,,,,21.0,,,,,,Bencoolen
2022-03,weekend,19,NE12/CC13,7969,9177,NE12,CC13,,True,,,13.0,,12.0,,,,,,,,,Serangoon
2022-03,weekday,19,NE12/CC13,24742,37511,NE12,CC13,,True,,,13.0,,12.0,,,,,,,,,Serangoon
2022-03,weekend,6,EW31,446,1818,EW31,,,False,,,,31.0,,,,,,,,,,Tuas Crescent
2022-03,weekday,6,EW31,1323,10829,EW31,,,False,,,,31.0,,,,,,,,,,Tuas Crescent
2022-03,weekday,15,EW7,8266,11058,EW7,,,False,,,,7.0,,,,,,,,,,Eunos
2022-03,weekend,15,EW7,3830,4318,EW7,,,False,,,,7.0,,,,,,,,,,Eunos
2022-03,weekend,23,CC23,173,110,CC23,,,False,,,23.0,,,,,,,,,,,one-north
2022-03,weekday,23,CC23,1049,250,CC23,,,False,,,23.0,,,,,,,,,,,one-north
2022-03,weekday,22,DT13,5761,3094,DT13,,,False,,,,,,,,13.0,,,,,,Rochor
2022-03,weekend,22,DT13,1534,1124,DT13,,,False,,,,,,,,13.0,,,,,,Rochor
2022-03,weekend,23,NE14,610,5042,NE14,,,False,,,,,14.0,,,,,,,,,Hougang
2022-03,weekday,23,NE14,1504,13206,NE14,,,False,,,,,14.0,,,,,,,,,Hougang
2022-03,weekday,22,NS9/TE2,16756,29785,NS9,TE2,,True,9.0,,,,,,,,,2.0,,,,Woodlands
2022-03,weekend,22,NS9/TE2,6359,11272,NS9,TE2,,True,9.0,,,,,,,,,2.0,,,,Woodlands
2022-03,weekday,12,DT22,3681,5031,DT22,,,False,,,,,,,,22.0,,,,,,Jalan Besar
2022-03,weekend,12,DT22,1897,3039,DT22,,,False,,,,,,,,22.0,,,,,,Jalan Besar
2022-03,weekday,18,DT28,24851,15670,DT28,,,False,,,,,,,,28.0,,,,,,Kaki Bukit
2022-03,weekend,18,DT28,2809,2962,DT28,,,False,,,,,,,,28.0,,,,,,Kaki Bukit
2022-03,weekend,12,DT34,1445,708,DT34,,,False,,,,,,,,34.0,,,,,,Upper Changi
2022-03,weekday,12,DT34,3462,2261,DT34,,,False,,,,,,,,34.0,,,,,,Upper Changi
2022-03,weekend,9,SW7,1142,439,SW7,,,False,,7.0,,,,,,,,,,,,Tongkang
2022-03,weekday,9,SW7,3116,1112,SW7,,,False,,7.0,,,,,,,,,,,,Tongkang
2022-03,weekend,12,NE17/PTC,15183,12700,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-03,weekday,12,NE17/PTC,30026,27196,NE17,PTC,,True,,,,,17.0,,,,0.0,,0.0,,,Punggol
2022-03,weekday,19,NE8,23787,35263,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-03,weekend,19,NE8,14185,13580,NE8,,,False,,,,,8.0,,,,,,,,,Farrer Park
2022-03,weekend,21,CC24,1820,865,CC24,,,False,,,24.0,,,,,,,,,,,Kent Ridge
2022-03,weekday,21,CC24,11842,1893,CC24,,,False,,,24.0,,,,,,,,,,,Kent Ridge
2022-03,weekend,12,EW8/CC9,18087,21453,EW8,CC9,,True,,,9.0,8.0,,,,,,,,,,Paya Lebar
2022-03,weekday,12,EW8/CC9,25913,34926,EW8,CC9,,True,,,9.0,8.0,,,,,,,,,,Paya Lebar
2022-03,weekend,20,BP5,359,472,BP5,,,False,,,,,,5.0,,,,,,,,Phoenix
2022-03,weekday,20,BP5,1387,1696,BP5,,,False,,,,,,5.0,,,,,,,,Phoenix
2022-03,weekday,12,EW15,16271,18868,EW15,,,False,,,,15.0,,,,,,,,,,Tanjong Pagar
2022-03,weekend,12,EW15,5030,7169,EW15,,,False,,,,15.0,,,,,,,,,,Tanjong Pagar
2022-03,weekday,7,SW4,3793,1099,SW4,,,False,,4.0,,,,,,,,,,,,Thanggam
2022-03,weekend,7,SW4,274,211,SW4,,,False,,4.0,,,,,,,,,,,,Thanggam
2022-03,weekday,22,DT33,2772,15146,DT33,,,False,,,,,,,,33.0,,,,,,Tampines East
2022-03,weekend,22,DT33,1211,5411,DT33,,,False,,,,,,,,33.0,,,,,,Tampines East
2022-03,weekend,11,EW24/NS1,12748,26198,EW24,NS1,,True,1.0,,,24.0,,,,,,,,,,Jurong East
2022-03,weekday,11,EW24/NS1,25775,48447,EW24,NS1,,True,1.0,,,24.0,,,,,,,,,,Jurong East
2022-03,weekend,21,NS13,10582,15040,NS13,,,False,13.0,,,,,,,,,,,,,Yishun
2022-03,weekday,21,NS13,29217,47174,NS13,,,False,13.0,,,,,,,,,,,,,Yishun
2022-03,weekday,5,NS13,24947,3452,NS13,,,False,13.0,,,,,,,,,,,,,Yishun
2022-03,weekend,5,NS13,4140,582,NS13,,,False,13.0,,,,,,,,,,,,,Yishun
2022-03,weekend,5,PW6,106,9,PW6,,,False,,,,,,,,,6.0,,,,,Sumang
2022-03,weekday,5,PW6,549,47,PW6,,,False,,,,,,,,,6.0,,,,,Sumang
2022-03,weekend,13,CC21,2639,2701,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village
2022-03,weekday,13,CC21,6255,5506,CC21,,,False,,,21.0,,,,,,,,,,,Holland Village
2022-03,weekend,14,PE7,1212,1245,PE7,,,False,,,,,,,,,,,7.0,,,Damai
2022-03,weekday,14,PE7,2864,4129,PE7,,,False,,,,,,,,,,,7.0,,,Damai
2022-03,weekend,10,CC20,1738,1285,CC20,,,False,,,20.0,,,,,,,,,,,Farrer Road
2022-03,weekday,10,CC20,3139,2652,CC20,,,False,,,20.0,,,,,,,,,,,Farrer Road
2022-03,weekday,21,EW25,2733,8522,EW25,,,False,,,,25.0,,,,,,,,,,Chinese Garden
2022-03,weekend,21,EW25,1388,2815,EW25,,,False,,,,25.0,,,,,,,,,,Chinese Garden
2022-03,weekday,16,CC2,4092,2083,CC2,,,False,,,2.0,,,,,,,,,,,Bras Basah
