period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2021-12,weekday,20,NS16,25947,53402,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,16,NS16,13964,16429,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,16,NS16,35877,47410,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,5,NS16,17298,2339,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,5,NS16,2872,251,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,9,NS16,16522,9774,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,9,NS16,49293,28439,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,15,NS16,13915,14501,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,15,NS16,33851,41078,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,18,NS16,14360,18745,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,18,NS16,56856,91357,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,7,NS16,72669,41723,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,7,NS16,10827,6302,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekday,24,NS16,1128,6319,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,24,NS16,372,2434,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2021-12,weekend,10,SE3,1272,410,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,10,SE3,3303,1154,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,13,SE3,2717,2022,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,13,SE3,1084,797,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,22,SE3,136,1210,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,22,SE3,318,3383,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,21,SE3,476,3618,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,21,SE3,201,1202,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,14,SE3,2266,2228,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,14,SE3,972,855,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,20,SE3,908,3875,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,20,SE3,326,1128,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,16,SE3,923,944,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,16,SE3,1817,2793,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,11,SE3,3437,1413,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,11,SE3,1433,538,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,24,SE3,11,519,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,24,SE3,11,216,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,18,SE3,733,1187,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,18,SE3,2708,4909,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,12,SE3,3338,1806,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,12,SE3,1273,633,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,8,SE3,5380,940,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,8,SE3,1016,269,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,6,SE3,3344,259,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,6,SE3,515,34,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,7,SE3,5886,549,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,7,SE3,751,129,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,9,SE3,3742,1002,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,9,SE3,1207,374,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,19,SE3,1508,5104,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,19,SE3,549,1271,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,5,SE3,1642,30,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,5,SE3,230,5,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,17,SE3,1074,955,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,17,SE3,2486,3714,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,23,SE3,43,780,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,23,SE3,117,2183,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,15,SE3,1975,2322,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekend,15,SE3,930,913,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2021-12,weekday,16,BP9,1660,2066,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,16,BP9,596,619,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,15,BP9,567,524,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,15,BP9,1731,1736,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,9,BP9,3068,2448,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,9,BP9,1170,589,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,18,BP9,557,769,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,18,BP9,2040,4129,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,19,BP9,1520,3309,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,19,BP9,414,604,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,14,BP9,2105,1715,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,14,BP9,710,611,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,23,BP9,36,255,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,23,BP9,119,562,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,5,BP9,1987,754,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,5,BP9,289,116,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,17,BP9,643,667,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,17,BP9,2374,3083,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,12,BP9,2587,1592,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,12,BP9,1013,640,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,11,BP9,3006,1506,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,11,BP9,1173,576,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,22,BP9,432,1563,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,22,BP9,167,465,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,6,BP9,3457,1073,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,6,BP9,499,150,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,8,BP9,925,573,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,8,BP9,3413,2572,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,7,BP9,619,311,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,7,BP9,4054,2035,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,13,BP9,920,598,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,13,BP9,2224,1834,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,21,BP9,222,524,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,21,BP9,558,1859,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,10,BP9,3150,1532,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,10,BP9,1222,682,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,20,BP9,1095,2345,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekend,20,BP9,389,556,BP9,,,FALSE,,,,,,9,,,,,,,,Bangkit
2021-12,weekday,14,CC12,3169,3245,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,14,CC12,1161,1084,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,16,CC12,4172,3007,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,16,CC12,1295,1100,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,5,CC12,83,10,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,5,CC12,405,94,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,23,CC12,154,636,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,23,CC12,430,1828,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,17,CC12,5663,3947,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,17,CC12,1543,1227,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,6,CC12,408,178,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,6,CC12,1985,1407,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,15,CC12,1399,1053,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,15,CC12,3089,3041,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,10,CC12,1574,606,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,10,CC12,3562,1936,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,22,CC12,910,3307,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,22,CC12,349,1066,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,9,CC12,1511,774,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,9,CC12,4490,2508,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,8,CC12,1154,753,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,8,CC12,5956,4484,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,11,CC12,1839,669,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,11,CC12,4525,2109,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,24,CC12,16,195,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,24,CC12,72,654,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,21,CC12,388,1250,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,21,CC12,1193,3733,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,19,CC12,3604,4617,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,19,CC12,803,1361,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,13,CC12,1211,1155,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,13,CC12,3575,3189,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,7,CC12,4806,3678,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,7,CC12,740,536,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,12,CC12,4391,2578,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,12,CC12,1497,976,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,18,CC12,6358,5346,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,18,CC12,1338,1413,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,20,CC12,456,1225,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekday,20,CC12,1763,3551,CC12,,,FALSE,,,12,,,,,,,,,,,Bartley
2021-12,weekend,12,CE1/DT16,4943,12745,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,12,CE1/DT16,11119,23035,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,6,CE1/DT16,3431,17135,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,6,CE1/DT16,1457,5123,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,18,CE1/DT16,30175,31097,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,18,CE1/DT16,14538,14533,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,8,CE1/DT16,2477,5724,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,8,CE1/DT16,7235,20609,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,21,CE1/DT16,41913,14571,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,21,CE1/DT16,18680,5550,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,23,CE1/DT16,13137,1059,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,23,CE1/DT16,31579,3884,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,20,CE1/DT16,36697,19517,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,20,CE1/DT16,19725,8237,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,17,CE1/DT16,29742,27758,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,17,CE1/DT16,16045,15063,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,7,CE1/DT16,8383,16958,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,7,CE1/DT16,2946,4841,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,13,CE1/DT16,12417,28321,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,13,CE1/DT16,6203,15464,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekday,9,CE1/DT16,4168,20800,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,9,CE1/DT16,1620,7100,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
2021-12,weekend,5,CE1/DT16,60,0,CE1,DT16,,TRUE,,,,,,,1,16,,,,,,Bayfront
