postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE
529623,41501.07485,37586.61776,1.3561914830000001,103.9546345,Tampines East,Tampines East,Tampines,East,DT33,operational,False,False,DT33,,,,,,33,,,,,
485990,42262.18797,35988.65688,1.341739774,103.9614728,Upper Changi,Simei,Tampines,East,DT34,operational,False,False,DT34,,,,,,34,,,,,
485985,42362.603460000006,35285.70839,1.3353825259999998,103.9623747,Expo,Xilin,Tampines,East,DT35/CG1,operational,False,True,DT35,CG1,,,,,35,,1,,,
486800,42643.962380000004,34569.6853,1.328906949,103.9649026,Xilin,Xilin,Tampines,East,DT36,future,False,False,DT36,,,,,,36,,,,,
588216,21598.16648,35931.235889999996,1.341223176,103.7757943,Beauty World,Anak Bukit,Bukit Timah,Central,DT5,operational,True,False,DT5,,,,,,5,,,,,
599987,22444.489569999998,35316.247910000006,1.335661613,103.7833991,King Albert Park,Holland Road,Bukit Timah,Central,DT6,operational,False,False,DT6,,,,,,6,,,,,
269784,23947.749369999998,34785.0233,1.330857645,103.7969068,Sixth Avenue,Coronation Road,Bukit Timah,Central,DT7,operational,False,False,DT7,,,,,,7,,,,,
266268,25155.62211,34198.80531,1.325556235,103.8077603,Tan Kah Kee,Coronation Road,Bukit Timah,Central,DT8,operational,False,False,DT8,,,,,,8,,,,,
519634,40905.597460000005,39449.982339999995,1.373043316,103.94928449999999,Pasir Ris,Pasir Ris Central,Pasir Ris,East,EW1,operational,True,False,EW1,,,,,,,1,,,,
387405,32236.603839999996,32643.33024,1.31148891,103.8713865,Kallang,Boon Keng,Kallang,Central,EW10,operational,True,False,EW10,,,,,,,10,,,,
208699,31277.40623,32188.73379,1.307377817,103.8627676,Lavender,Lavender,Kallang,Central,EW11,operational,False,False,EW11,,,,,,,11,,,,
188022,30491.60007,31424.35127,1.300465085,103.8557067,Bugis,Victoria,Rochor,Central,EW12/DT14,operational,False,True,EW12,DT14,,,,,14,12,,,,
179100,30144.25038,30591.900810000003,1.292936722,103.8525856,City Hall,City Hall,Downtown Core,Central,EW13 / NS25,operational,False,True,EW13,NS25,,,,25,,13,,,,
48618,30019.18053,29617.61258,1.28412561,103.8514617,Raffles Place,Raffles Place,Downtown Core,Central,EW14 / NS26,operational,False,True,EW14,NS26,,,,26,,14,,,,
69119,29380.756739999997,28781.18833,1.276561317,103.8457252,Tanjong Pagar,Tanjong Pagar,Downtown Core,Central,EW15,operational,False,False,EW15,,,,,,,15,,,,
168731,27346.33227,29836.20442,1.286102536,103.82744509999999,Tiong Bahru,Tiong Bahru Station,Bukit Merah,Central,EW17,operational,True,False,EW17,,,,,,,17,,,,
158792,26155.0535,30226.75978,1.2896345340000002,103.81674100000001,Redhill,Redhill,Bukit Merah,Central,EW18,operational,False,False,EW18,,,,,,,18,,,,
149729,24968.26735,30770.391110000004,1.294550852,103.8060772,Queenstown,Mei Chin,Queenstown,Central,EW19,operational,False,False,EW19,,,,,,,19,,,,
529538,40444.9732,37267.02627,1.3533016759999998,103.9451446,Tampines,Tampines East,Tampines,East,EW2/DT32,operational,False,True,EW2,DT32,,,,,32,2,,,,
149735,24094.795140000002,31649.59892,1.302501999,103.79822850000001,Commonwealth,Commonwealth,Queenstown,Central,EW20,operational,False,False,EW20,,,,,,,20,,,,
139345,23207.2578,32171.7151,1.307223708,103.7902535,Buona Vista,One North,Queenstown,Central,EW21/CC22,operational,True,True,EW21,CC22,,22,,,,21,,,,
138677,21914.55093,32634.11863,1.311405293,103.7786378,Dover,Singapore Polytechnic,Queenstown,Central,EW22,operational,False,False,EW22,,,,,,,22,,,,
129580,20418.105509999998,33044.49447,1.315116253,103.7651915,Clementi,Clementi Central,Clementi,West,EW23,operational,True,False,EW23,,,,,,,23,,,,
609690,17869.05705,35038.96887,1.333152816,103.7422863,Jurong East,Jurong Gateway,Jurong East,West,EW24 / NS1,operational,True,True,EW24,NS1,,,,1,,24,,,,
609959,16790.74663,36056.301889999995,1.342352821,103.7325967,Chinese Garden,Lakeside (Leisure),Jurong East,West,EW25,operational,False,False,EW25,,,,,,,25,,,,
649845,15494.49695,36267.14703,1.344259115,103.7209491,Lakeside,Taman Jurong,Jurong West,West,EW26,operational,False,False,EW26,,,,,,,26,,,,
649846,13837.982719999998,35641.91912,1.338604055,103.70606459999999,Boon Lay,Jurong West Central,Jurong West,West,EW27,operational,True,False,EW27,,,,,,,27,,,,
648310,12864.96983,35529.51155,1.3375870109999999,103.6973216,Pioneer,Jurong West Central,Jurong West,West,EW28,operational,False,False,EW28,,,,,,,28,,,,
629116,10756.33797,34438.26178,1.3277170409999999,103.678375,Joo Koon,Joo Koon,Pioneer,West,EW29,operational,True,False,EW29,,,,,,,29,,,,
529888,41361.22817,36149.75278,1.343197079,103.9533772,Simei,Simei,Tampines,East,EW3,operational,False,False,EW3,,,,,,,3,,,,
637288,8770.351501000001,33526.57337,1.3194709009999999,103.66053050000001,Gul Circle,Gul Circle,Pioneer,West,EW30,operational,False,False,EW30,,,,,,,30,,,,
639608,7495.837867,33698.726310000005,1.3210269559999999,103.6490782,Tuas Crescent,Tuas North,Tuas,West,EW31,operational,False,False,EW31,,,,,,,31,,,,
639609,6442.928612,34689.35177,1.329985047,103.6396166,Tuas West Road,Tuas Bay,Tuas,West,EW32,operational,False,False,EW32,,,,,,,32,,,,
638418,6150.862788,35894.35822,1.340882425,103.63699140000001,Tuas Link,Tuas Promenade,Tuas,West,EW33,operational,True,False,EW33,,,,,,,33,,,,
467356,40579.099780000004,34379.43168,1.327187291,103.9463486,Tanah Merah,Bedok South,Bedok,East,EW4,operational,False,False,EW4,,,,,,,4,,,,
467347,38757.95205,34024.70478,1.323979969,103.9299845,Bedok,Bedok North,Bedok,East,EW5,operational,True,False,EW5,,,,,,,5,,,,
416551,36861.961489999994,33699.34405,1.3210381340000001,103.9129479,Kembangan,Kembangan,Bedok,East,EW6,operational,False,False,EW6,,,,,,,6,,,,
409423,35779.98835,33560.5859,1.319783549,103.90322579999999,Eunos,Geylang East,Geylang,Central,EW7,operational,True,False,EW7,,,,,,,7,,,,
388310,33518.604869999996,33190.00202,1.316432612,103.882906,Aljunied,Aljunied,Geylang,Central,EW9,operational,False,False,EW9,,,,,,,9,,,,
98867,26688.0367,27545.853430000003,1.2653893840000001,103.8215302,Harbourfront,Maritime Square,Bukit Merah,Central,NE1 / CC29,operational,True,True,NE1,CC29,,29,1,,,,,,,
347694,31977.166760000004,34842.7251,1.33137949,103.8690557,Potong Pasir,Potong Pasir,Toa Payoh,Central,NE10,operational,False,False,NE10,,,,10,,,,,,,
347695,32173.31857,35706.37936,1.339190045,103.8708183,Woodleigh,Bidadari,Toa Payoh,Central,NE11,operational,True,False,NE11,,,,11,,,,,,,
534799,33758.7578,38027.27944,1.360179171,103.8850649,Kovan,Kovan,Hougang,North-East,NE13,operational,False,False,NE13,,,,13,,,,,,,
538758,34572.87525,39256.128280000004,1.371292266,103.8923805,Hougang,Hougang Central,Hougang,North-East,NE14,operational,True,False,NE14,,,,14,,,,,,,
545061,34655.42506,40536.340169999996,1.38287002,103.89312259999998,Buangkok,Compassvale,Sengkang,North-East,NE15/STC,operational,True,True,NE15,STC,,,15,,,,,,,
545062,34918.27401,41512.12769,1.391694626,103.89548470000001,Sengkang,Sengkang Town Centre,Sengkang,North-East,NE16,operational,True,False,NE16,,,,16,,,,,,,
828868,35651.3828,42933.24827,1.4045465369999999,103.9020726,Punggol,Matilda,Punggol,North-East,NE17/PTC,operational,True,True,NE17,PTC,,,17,,,,,,,
828604,36552.07067,44081.133460000005,1.4149273340000001,103.91016640000001,Punggol Coast,Northshore,Punggol,North-East,NE18,future,False,False,NE18,,,,18,,,,,,,
59816,28681.249289999996,29130.522269999998,1.279720594,103.8394399,Outram Park,Singapore General Hospital,Bukit Merah,Central,NE3/EW16/TE17,operational,True,True,NE3,EW16,TE17,,3,,,16,,,17,
59815,29473.124939999998,30088.703789999996,1.288386024,103.8465552,Clarke Quay,Clarke Quay,Singapore River,Central,NE5,operational,False,False,NE5,,,,5,,,,,,,
229900,29817.20857,32124.85018,1.306800197,103.84964709999998,Little India,Farrer Park,Rochor,Central,NE7/DT12,operational,False,True,NE7,DT12,,,7,,12,,,,,
218703,30243.52065,32689.37956,1.311905573,103.8534777,Farrer Park,Farrer Park,Rochor,Central,NE8,operational,False,False,NE8,,,,8,,,,,,,
328260,31144.04501,33510.974610000005,1.319335709,103.8615695,Boon Keng,Bendemeer,Kallang,Central,NE9,operational,False,False,NE9,,,,9,,,,,,,
738344,24402.38663,46918.5068,1.4405885619999999,103.8009905,Admiralty,Woodlands East,Woodlands,North,NS10,operational,False,False,NS10,,,,,10,,,,,,
759775,26522.98826,47854.19984,1.4490508219999998,103.82004609999998,Sembawang,Sembawang Central,Sembawang,North,NS11,operational,True,False,NS11,,,,,11,,,,,,
756972,27597.596939999996,47193.60088,1.443076641,103.82970259999999,Canberra,Sembawang Springs,Sembawang,North,NS12,operational,False,False,NS12,,,,,12,,,,,,
769093,28187.678819999997,45686.07054,1.429443085,103.83500500000001,Yishun,Yishun West,Yishun,North,NS13,operational,True,False,NS13,,,,,13,,,,,,
769092,27962.31086,44352.567989999996,1.41738337,103.83297990000001,Khatib,Khatib,Yishun,North,NS14,operational,False,False,NS14,,,,,14,,,,,,
569813,29294.12623,40413.06264,1.381755871,103.8449473,Yio Chu Kang,Yio Chu Kang,Ang Mo Kio,North-East,NS15,operational,False,False,NS15,,,,,15,,,,,,
569812,29807.26115,39105.736000000004,1.36993285,103.8495581,Ang Mo Kio,Cheng San,Ang Mo Kio,North-East,NS16,operational,True,False,NS16,,,,,16,,,,,,
319756,29500.23495,35847.77198,1.340469001,103.8467991,Braddell,Toa Payoh West,Toa Payoh,Central,NS18,operational,False,False,NS18,,,,,18,,,,,,
319398,29578.48907,34980.89629,1.332629281,103.8475022,Toa Payoh,Toa Payoh Central,Toa Payoh,Central,NS19,operational,True,False,NS19,,,,,19,,,,,,
659958,18679.32232,36794.92602,1.349033312,103.7495665,Bukit Batok,Bukit Batok Central,Bukit Batok,West,NS2,operational,True,False,NS2,,,,,2,,,,,,
307642,29169.329789999996,33633.15354,1.320440791,103.84382559999999,Novena,Moulmein,Novena,Central,NS20,operational,False,False,NS20,,,,,20,,,,,,
228234,28519.283069999998,32735.077039999996,1.312318922,103.83798459999998,Newton,Newton Circus,Newton,Central,NS21/DT11,operational,False,True,NS21,DT11,,,,21,11,,,,,
238162,28641.834660000004,31402.124519999998,1.3002641670000001,103.8390858,Somerset,Somerset,Orchard,Central,NS23,operational,False,False,NS23,,,,,23,,,,,,
238826,29423.98045,31229.31637,1.298701325,103.8461137,Dhoby Ghaut,Dhoby Ghaut,Museum,Central,NS24/CC1/NE6,operational,False,True,NS24,CC1,NE6,1,6,24,,,,,,
18925,30367.954719999998,28764.49593,1.2764102990000001,103.8545955,Marina Bay,Central Subzone,Downtown Core,Central,NS27/CE2/TE20,operational,False,True,NS27,CE2,TE20,,,27,,,,,20,2
