period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,DT,CE,BP,PW,TE,PE,CG,SE,name
2022-01,weekend,10,NS16,19553,13129,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,10,NS16,35080,24331,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,8,NS16,69022,40583,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,8,NS16,15847,11594,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,21,NS16,9784,19780,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,21,NS16,21735,45031,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,20,NS16,24289,48739,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,20,NS16,11278,19415,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,5,NS16,16698,2317,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,5,NS16,3533,345,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,16,NS16,31883,43387,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,16,NS16,17233,19913,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,9,NS16,45292,26676,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,9,NS16,20178,12490,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,15,NS16,31007,37396,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,15,NS16,17108,18437,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,18,NS16,17404,23791,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,18,NS16,53024,93436,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,24,NS16,409,2602,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,24,NS16,740,4200,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekend,7,NS16,13641,7999,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,7,NS16,81074,50103,NS16,,,FALSE,16,,,,,,,,,,,,,Ang Mo Kio
2022-01,weekday,10,SE3,2451,982,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,10,SE3,1643,478,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,13,SE3,3670,2896,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,13,SE3,1224,988,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,22,SE3,287,2615,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,22,SE3,124,1347,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,21,SE3,220,1502,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,21,SE3,407,3034,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,14,SE3,1213,1071,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,14,SE3,1869,2922,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,20,SE3,415,1506,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,20,SE3,774,3638,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,16,SE3,1133,1288,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,16,SE3,1636,2975,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,11,SE3,2478,1276,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,11,SE3,1570,694,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,24,SE3,10,348,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,24,SE3,5,166,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,18,SE3,1008,1395,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,18,SE3,2227,5272,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,12,SE3,2376,1705,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,12,SE3,1766,906,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,8,SE3,5723,980,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,8,SE3,1379,468,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,6,SE3,5851,966,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,6,SE3,679,76,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,7,SE3,8476,2457,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,7,SE3,902,211,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,9,SE3,3425,1030,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,9,SE3,1497,449,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,19,SE3,1399,4969,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,19,SE3,765,1498,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,5,SE3,319,5,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,5,SE3,1569,33,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,17,SE3,2111,3863,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,17,SE3,1308,1255,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,23,SE3,52,866,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,23,SE3,83,1547,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekday,15,SE3,1546,3048,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,15,SE3,1070,1076,SE3,,,FALSE,,,,,,,,,,,,,3,Bakau
2022-01,weekend,16,BP9,908,861,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,16,BP9,2084,2534,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,15,BP9,2702,2031,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,15,BP9,1013,836,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,9,BP9,1714,915,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,9,BP9,3209,2540,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,18,BP9,755,989,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,18,BP9,2085,4278,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,19,BP9,646,836,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,19,BP9,1495,3586,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,14,BP9,3527,2046,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,14,BP9,1118,903,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,23,BP9,64,288,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,23,BP9,84,508,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,5,BP9,448,181,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,5,BP9,1974,946,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,17,BP9,929,918,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,17,BP9,2332,3243,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,12,BP9,3118,1613,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,12,BP9,1656,974,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,11,BP9,2835,1436,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,11,BP9,1891,952,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,22,BP9,368,1363,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,22,BP9,196,624,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekend,6,BP9,758,271,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,6,BP9,5005,2920,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
2022-01,weekday,8,BP9,3592,3254,BP9,,,FALSE,,,,,,,,9,,,,,,Bangkit
