period,day_type,hour,station_code,tap_in_vol,tap_out_vol,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,name
2022-02,weekday,16,CC10/DT26,9670,8627,CC10,DT26,,True,,,10.0,,,,,26.0,,,,,,MacPherson
2022-02,weekend,16,CC10/DT26,6225,5098,CC10,DT26,,True,,,10.0,,,,,26.0,,,,,,MacPherson
2022-02,weekday,6,DT28,7851,4834,DT28,,,False,,,,,,,,28.0,,,,,,Kaki Bukit
2022-02,weekend,6,DT28,1427,778,DT28,,,False,,,,,,,,28.0,,,,,,Kaki Bukit
2022-02,weekend,5,DT7,24,2,DT7,,,False,,,,,,,,7.0,,,,,,Sixth Avenue
2022-02,weekday,5,DT7,102,77,DT7,,,False,,,,,,,,7.0,,,,,,Sixth Avenue
2022-02,weekday,11,PW5,1533,904,PW5,,,False,,,,,,,,,5.0,,,,,Nibong
2022-02,weekend,11,PW5,1379,690,PW5,,,False,,,,,,,,,5.0,,,,,Nibong
2022-02,weekday,18,BP3,2773,7164,BP3,,,False,,,,,,3.0,,,,,,,,Keat Hong
2022-02,weekend,18,BP3,1322,1724,BP3,,,False,,,,,,3.0,,,,,,,,Keat Hong
2022-02,weekday,22,CC28,759,2186,CC28,,,False,,,28.0,,,,,,,,,,,Telok Blangah
2022-02,weekend,22,CC28,461,1133,CC28,,,False,,,28.0,,,,,,,,,,,Telok Blangah
2022-02,weekday,13,SW6,2668,3750,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-02,weekend,13,SW6,1209,1096,SW6,,,False,,6.0,,,,,,,,,,,,Layar
2022-02,weekend,17,DT21,2057,1430,DT21,,,False,,,,,,,,21.0,,,,,,Bencoolen
2022-02,weekday,17,DT21,7091,2736,DT21,,,False,,,,,,,,21.0,,,,,,Bencoolen
2022-02,weekday,19,NE12/CC13,18005,27866,NE12,CC13,,True,,,13.0,,12.0,,,,,,,,,Serangoon
2022-02,weekend,19,NE12/CC13,8474,9704,NE12,CC13,,True,,,13.0,,12.0,,,,,,,,,Serangoon
