,postal,x,y,lat,long,name,subzone,area,region,code,status,bus_interchange,mrt_interchange,code1,code2,code3,CC,NE,NS,DT,EW,CG,BP,TE,CE,svc,bus count,pop,hub,min_dist,nearest_hub,cluster,bus_rank,pop_rank,dist_rank,pop-bus_rank
32,189658,29895.86395,31253.32587,1.298918434,103.8503538,Bencoolen,Bencoolen,Rochor,Central,DT21,operational,False,False,DT21,,,,,,21.0,,,,,,"NR6,147,5N,850E,124,147A,162M,139,131,502,2N,1N,111,56,656,665,162,660,166,36,16M,857,502A,167,190,6N,174,652,65,64,175,518,951E,77,4N,174e,131A,14e,7,857B,106,3N,36B,16,518A,663,14",47,1310.0,False,1.6494914203880617,Raffles Place,2.0,0.9552845528455285,0.2967479674796748,0.2032520325203252,-0.6585365853658537
33,208826,30445.85298,31944.74962,1.305171388,103.8552957,Jalan Besar,Sungei Road,Rochor,Central,DT22,operational,False,False,DT22,,,,,,22.0,,,,,,"170A,130,147,147A,139,2N,851,48,67,857,851e,64,65,23,960,4N,57,857B,960e",19,2050.0,False,2.3786796864105724,Raffles Place,1.0,0.5894308943089431,0.3333333333333333,0.2845528455284553,-0.2560975609756098
34,339356,31300.767610000003,32884.770919999995,1.313672528,103.8629776,Bendemeer,Kallang Bahru,Kallang,Central,DT23,operational,False,False,DT23,,,,,,23.0,,,,,,"961,175,107M,961M,107,61",6,20.0,False,3.5260683901613956,Raffles Place,2.0,0.15040650406504066,0.07317073170731707,0.3983739837398374,-0.0772357723577236
35,339355,32262.86126,33728.31269,1.321301102,103.8716226,Geylang Bahru,Geylang Bahru,Kallang,Central,DT24,operational,False,False,DT24,,,,,,24.0,,,,,,"26,853,175,107M,853M,140,107,61",8,11280.0,False,4.702203235019118,Raffles Place,1.0,0.22357723577235772,0.5528455284552846,0.5203252032520326,0.32926829268292684
36,379314,33556.583439999995,34344.85853,1.326876715,103.8832475,Mattar,Macpherson,Geylang,Central,DT25,operational,False,False,DT25,,,,,,25.0,,,,,,"155,135,154,158,65,40,63,63A,63M,61",10,28360.0,False,5.923120647868491,Raffles Place,1.0,0.2967479674796748,0.7357723577235772,0.7073170731707317,0.4390243902439024
37,378956,34230.010480000004,34264.54353,1.326150245,103.88929859999999,Macpherson,Macpherson,Geylang,Central,DT26/CC10,operational,False,True,DT26,CC10,,10.0,,,26.0,,,,,,"24,155,135,154,70,80A,137,76,43,158,63A,65,43e,80,28,63,61,70A,70M,40,63M",21,28360.0,False,6.287144606614757,Raffles Place,1.0,0.6504065040650406,0.7357723577235772,0.7967479674796748,0.08536585365853655
38,408899,35334.89183,34687.41099,1.32997426,103.8992267,Ubi,Kampong Ubi,Geylang,Central,DT27,operational,False,False,DT27,,,,,,27.0,,,,,,"61,63,137,65,8,63A,63M,22",8,11800.0,False,5.725692256320612,Tampines,2.0,0.22357723577235772,0.5772357723577236,0.6747967479674797,0.3536585365853659
39,415804,36362.378280000004,35239.552260000004,1.33496736,103.9084593,Kaki Bukit,Kaki Bukit,Bedok,East,DT28,operational,False,False,DT28,,,,,,28.0,,,,,,"15A,5,59,58A,87,15,58B,58",8,37150.0,False,4.559287373952166,Tampines,1.0,0.22357723577235772,0.8252032520325203,0.5040650406504065,0.6016260162601625
40,479481,37421.743819999996,35214.680389999994,1.334742117,103.91797829999999,Bedok North,Kaki Bukit,Bedok,East,DT29,operational,False,False,DT29,,,,,,29.0,,,,,,"87,23,518,137,137A,60,60T",7,37150.0,False,3.657719984716059,Tampines,0.0,0.18699186991869918,0.8252032520325203,0.4065040650406504,0.6382113821138211
41,678211,20666.06755,38266.78985,1.362344868,103.7674183,Hillview,Nature Reserve,Bukit Panjang,West,DT3,operational,False,False,DT3,,,,,,3.0,,,,,,"170A,973,961,653,184,176,75,178,970,963,961M,67",12,3850.0,False,4.282728415023003,Jurong East,1.0,0.3617886178861789,0.3821138211382114,0.4959349593495935,0.02032520325203252
42,469724,39008.313160000005,35421.04087,1.33660783,103.93223459999999,Bedok Reservoir,Bedok Reservoir,Bedok,East,DT30,operational,False,False,DT30,,,,,,30.0,,,,,,"5,21,59,168,46,65,69,CT18,28,18,228,2N,67",13,25470.0,False,2.3463467299186265,Tampines,0.0,0.4065040650406504,0.6910569105691057,0.2764227642276423,0.2845528455284553
43,529683,39698.52759,36406.01433,1.345515306,103.938437,Tampines West,Tampines West,Tampines,East,DT31,operational,False,False,DT31,,,,,,31.0,,,,,,"46,513,2N,18,5,15,129,8,67,15A,59,118B,65,23,518,69,28,21,118,168,118A",21,79670.0,False,1.1426300200902815,Tampines,1.0,0.6504065040650406,0.967479674796748,0.12195121951219512,0.3170731707317074
44,529623,41501.07485,37586.61776,1.3561914830000001,103.9546345,Tampines East,Tampines East,Tampines,East,DT33,operational,False,False,DT33,,,,,,33.0,,,,,,"9A,19,34B,12,293T,34,18,37,17,29A,8,3,4,59,38,518,81,29,21,12e,293,39,9",23,130980.0,False,1.102787122511803,Tampines,0.0,0.7195121951219512,0.9959349593495935,0.0975609756097561,0.27642276422764234
45,485990,42262.18797,35988.65688,1.341739774,103.9614728,Upper Changi,Simei,Tampines,East,DT34,operational,False,False,DT34,,,,,,34.0,,,,,,"24,2,5,4N",4,39450.0,False,2.224288375541891,Tampines,2.0,0.10569105691056911,0.8577235772357723,0.25203252032520324,0.7520325203252032
46,485985,42362.603460000006,35285.70839,1.3353825259999998,103.9623747,Expo,Xilin,Tampines,East,DT35/CG1,operational,False,True,DT35,CG1,,,,,35.0,,1.0,,,,"20,118,47",3,1760.0,False,2.7638345626468994,Tampines,2.0,0.08943089430894309,0.32113821138211385,0.3170731707317073,0.23170731707317077
48,599987,22444.489569999998,35316.247910000006,1.335661613,103.7833991,King Albert Park,Holland Road,Bukit Timah,Central,DT6,operational,False,False,DT6,,,,,,6.0,,,,,,"170A,174,961,154,157,74,970,151,852,77,961M,67",12,10840.0,False,4.578800951430941,Jurong East,2.0,0.3617886178861789,0.5365853658536586,0.5121951219512195,0.17479674796747968
49,269784,23947.749369999998,34785.0233,1.330857645,103.7969068,Sixth Avenue,Coronation Road,Bukit Timah,Central,DT7,operational,False,False,DT7,,,,,,7.0,,,,,,"170A,174,961,154,157,74,970,151,852,77,961M,67,156",13,6690.0,False,6.077242419253232,Jurong East,2.0,0.4065040650406504,0.4349593495934959,0.7398373983739838,0.028455284552845517
50,266268,25155.62211,34198.80531,1.325556235,103.8077603,Tan Kah Kee,Coronation Road,Bukit Timah,Central,DT8,operational,False,False,DT8,,,,,,8.0,,,,,,"170A,174,961,154,157,74,151,852,961M,67,156",11,6690.0,False,6.695115347666235,Raffles Place,2.0,0.33739837398373984,0.4349593495934959,0.8373983739837398,0.09756097560975607
51,208699,31277.40623,32188.73379,1.307377817,103.8627676,Lavender,Lavender,Kallang,Central,EW11,operational,False,False,EW11,,,,,,,11.0,,,,,"107M,7A,12,961M,2A,980,32,133,961,63A,33,51,100,175,80,63,107,61,7,145,2,197",22,9690.0,False,2.874820352400629,Raffles Place,1.0,0.6788617886178862,0.4959349593495935,0.3252032520325203,-0.18292682926829268
52,188022,30491.60007,31424.35127,1.300465085,103.8557067,Bugis,Victoria,Rochor,Central,EW12/DT14,operational,False,True,EW12,DT14,,,,,14.0,12.0,,,,,"170A,130,7A,12,2A,2N,980,133,32,851,63A,48,33,851e,51,175,80,63,960,4N,61,7,145,57,12e,960e,2,197",28,1760.0,False,1.8771511850231426,Raffles Place,2.0,0.7764227642276422,0.32113821138211385,0.21951219512195122,-0.4552845528455284
53,179100,30144.25038,30591.900810000003,1.292936722,103.8525856,City Hall,City Hall,Downtown Core,Central,EW13 / NS25,operational,False,True,EW13,NS25,,,,25.0,,13.0,,,,,"130,NR6,5N,195,850E,124,162M,7A,502,131,961M,2N,133,1N,111,32,656,961,851,665,162,660,NR5,195A,63A,166,36,16M,857,851e,502A,167,174,6N,652,51,NR8,175,14A,518,NR2,80,951E,63,77,960,36A,4N,174e,131A,14e,61,7,145,857B,106,NR1,3N,36B,960e,16,197,518A,663,14",65,80.0,False,0.9876851859571854,Raffles Place,2.0,1.0,0.12601626016260162,0.08130081300813008,-0.8739837398373984
