BusStopCode,RoadName,Description,Latitude,Longitude,svc,len
52221,Lor 3 Toa Payoh,Opp Jackson Sq,1.33801162125737,103.84822863361009,235,1.0
52229,Lor 3 Toa Payoh,Jackson Sq,1.33775023417492,103.84880288106709,235,1.0
52231,Toa Payoh Ctrl,Blk 79C,1.3343049899736998,103.84878423860208,"153,105,NR1,56",4.0
52239,Toa Payoh Ctrl,Blk 177,1.3341219444916799,103.84894805557066,"153,105,232,56",4.0
52241,Toa Payoh Rise,Bef Caldecott Stn/Savh,1.3380461111150501,103.8389949999753,141,1.0
52249,Toa Payoh Rise,Aft Caldecott Stn,1.33782999993927,103.83860000005329,141,1.0
52251,Lor 4 Toa Payoh,Chung Hwa Free Clinic,1.3329698063249,103.8514208793844,"232,155,28,73,159",5.0
52259,Lor 4 Toa Payoh,Opp Chung Hwa Free Clinic,1.3327874654695901,103.85165691373103,"155,28,73,159,73T",5.0
52261,Lor 4 Toa Payoh,Opp Blk 73,1.33403167346972,103.851281404484,"163,88,157",3.0
52269,Lor 4 Toa Payoh,Blk 73,1.3340423993633101,103.85147452356613,"163,231,88,157",4.0
52271,Lor 4 Toa Payoh,Jackson Sq,1.33683113907107,103.84974718092391,"163,105,157,155,NR1,28,73,88,159,56,153",11.0
52279,Lor 4 Toa Payoh,Blk 56,1.3370242055511798,103.84992957112877,"163,105,157,155,28,73,88,231,159,56,73T,153",12.0
52281,Lor 5 Toa Payoh,Blk 68,1.33444611098518,103.85362416699164,"235,231",2.0
52289,Lor 5 Toa Payoh,Blk 34,1.33501934336797,103.85386490982448,235,1.0
52291,Lor 5 Toa Payoh,Blk 59,1.3369700601271999,103.85224710756584,"235,231",2.0
52299,Lor 5 Toa Payoh,Blk 50,1.33715967694295,103.85231928852072,235,1.0
52301,Toa Payoh East,Blk 35,1.33411036071703,103.85462603898891,235,1.0
52309,Toa Payoh East,Opp Blk 35,1.33390300713051,103.85467626312278,235,1.0
52311,Toa Payoh East,Blk 23,1.3343580096038898,103.85721839168514,"232,238",2.0
52319,Toa Payoh East,Blk 25,1.33412138901702,103.85712611102798,238,1.0
52321,Lor 6 Toa Payoh,Toa Payoh Stadium,1.3312589884768,103.8527071071997,"90,26,235,31,142,506,57,59,238,8",10.0
52329,Lor 6 Toa Payoh,Opp Toa Payoh Stadium,1.3314681753237398,103.852686881995,"90,26,90A,235,31,142,506,57,142A,238,59,8",12.0
52331,Lor 6 Toa Payoh,Blk 27,1.3324630662627601,103.85581029367948,"57,235,238",3.0
52339,Lor 6 Toa Payoh,Opp Blk 26,1.33287166703192,103.85586083299009,"57,235,238",3.0
52341,Lor 6 Toa Payoh,Pei Chun Public Sch,1.33625777803173,103.8556225000278,"57,232",2.0
52349,Lor 6 Toa Payoh,United Medicare Ctr,1.3361930560055801,103.8554425000288,57,1.0
52351,Lor 6 Toa Payoh,Blk 2,1.33836800687246,103.85328005892129,"57,232",2.0
52359,Lor 6 Toa Payoh,Blk 52,1.3386283329863702,103.85268888900069,232,1.0
52361,Lor 6 Toa Payoh,Blk 1,1.33974408909931,103.85298121607642,"163,105,157,155,28,73,129,57,59,88,159,56,73T,153",14.0
52369,Lor 6 Toa Payoh,Blk 237,1.3400183329806499,103.85273333299853,"163,105,157,155,NR1,28,73,129,57,59,88,159,56,153",14.0
52371,Lor 8 Toa Payoh,First Toa Payoh Pr Sch,1.33992964917756,103.8565158565736,238,1.0
52381,Lor 8 Toa Payoh,Braddell Tech Bldg,1.33988664001033,103.8583063045366,238,1.0
52389,Lor 8 Toa Payoh,Blk 227,1.33972612917249,103.85808211459386,238,1.0
52391,Lor 8 Toa Payoh,Opp Blk 231,1.3376513888146002,103.8598834966415,238,1.0
52399,Lor 8 Toa Payoh,Blk 231,1.33696449411474,103.85973389508499,238,1.0
52401,Jln Rajah,Blk 102,1.3283018608185702,103.85082868868595,"129,139,139M",3.0
52409,Jln Rajah,Opp Blk 102,1.3280197117478703,103.85105250762085,"129,139,139M",3.0
52411,Jln Rajah,Blk 105,1.328301,103.853806,"129,139,139M",3.0
52419,Jln Rajah,Curtin S'pore,1.32803305599299,103.853917500026,"129,139,139M",3.0
52429,Lor 7 Toa Payoh,Blk 17A,1.33630975081569,103.85712939407202,232,1.0
52439,Lor 7 Toa Payoh,Opp Blk 5,1.33825111098581,103.85541166702772,232,1.0
52441,Lor 1 Toa Payoh,Blk 202,1.34083165668042,103.84976000739448,"129,59,231,232",4.0
52449,Lor 1 Toa Payoh,Toa Payoh Police Ctr,1.3404494587646498,103.85000305578686,"129,59,231,232",4.0
52451,Whampoa Rd,Blk 114,1.3253199216809,103.85731928602706,"186,131,21,125,129,139,131A,124,139M",9.0
52479,Ah Hood Rd,Opp EASB,1.3274961765663502,103.84578619081431,"129,139,139M",3.0
52481,Lor 8 Toa Payoh,Toa Payoh Polyclinic,1.33524833301564,103.85859277800392,238,1.0
52489,Lor 8 Toa Payoh,Opp Toa Payoh Polyclinic,1.33536277799489,103.85871194397946,238,1.0
52499,Whampoa Rd,St. Michael's Ter,1.3260375975124499,103.85537211273477,"186,131,21,125,129,131A,124",7.0
52501,Lor 6 Toa Payoh,Toa Payoh Swim Cplx,1.33090220918791,103.85011762889827,"90,26,163,157,155,235,31,142,506,28,73,57,88,59,238,159,73T,8",18.0
52509,Lor 6 Toa Payoh,Opp Toa Payoh Swim Cplx,1.3311571230376202,103.85017633434693,"155,31,90A,163,232,235,142,506,59,238,8,90,26,157,73,57,88,28,142A,159",20.0
52529,Lor 8 Toa Payoh,Bef Blk 221,1.3413264351701102,103.85733489917507,238,1.0
52539,Lor 8 Toa Payoh,Blk 210 Mkt/FC,1.3399180559800399,103.85386250003323,238,1.0
52551,Toa Payoh Lk,Caldecott Stn Exit 4,1.3363399999999999,103.839853,235,1.0
52559,Toa Payoh Lk,Caldecott Stn Exit 1,1.336478,103.83967,235,1.0
53009,Bishan St 13,Bishan Int,1.35045541249544,103.84988083722293,"410G,53,410,52,55B,57,54,58,59,56,410W,50,55",13.0
53011,Upp Thomson Rd,ST. THERESA'S HME,1.3455535114331498,103.83826335532179,"162M,163,980,130,132,167,52,165,162,74,852,855,166",13.0
