,name,station_code,code,code2,code3,interchange,NS,SW,CC,EW,NE,BP,CE,DT,PW,TE,PE,CG,SE,totalTapIn,totalTapOut,cluster,postal,x,y,lat,long,subzone,area,region,status,bus_interchange,mrt_interchange,svc,bus count,pop,geometry,groceryCount,mallCount,adj_stations,dist_to_nearest_station,hub,min_dist_to_hub,nearest_hub,bus_rank,pop_rank,hub_dist_rank,adj_count_rank,dist_to_neighbour_rank,pop-bus_rank,bizCount
20,Nicoll Highway,CC5,CC5,,,False,,,5.0,,,,,,,,,,,52465.0,53374.5,2.0,38970,31374.164930000006,31347.15287,1.299766847,103.863637,Nicoll,Downtown Core,Central,operational,False,False,"196,70A,70M,70,14A,10,16,196A,16M,14",10,290.0,POINT (1.299766847 103.863637),42,28,15.0,0.7382421333761598,False,2.2038230400006147,Raffles Place,0.34899328859060397,0.20134228187919465,0.2483221476510067,0.87248322147651,0.2348993288590604,-0.1476510067114094,6132
21,Stadium,CC6,CC6,,,False,,,6.0,,,,,,,,,,,93102.25,95493.75,2.0,397692,32676.34771,31683.94076,1.302812468,103.8753377,Tanjong Rhu,Kallang,Central,operational,False,False,11,1,11110.0,POINT (1.302812468 103.8753377),40,17,8.0,0.8837257546429235,False,3.3708234504284014,Raffles Place,0.0436241610738255,0.5939597315436241,0.3825503355704698,0.7550335570469798,0.3825503355704698,0.5503355704697986,3522
22,Mountbatten,CC7,CC7,,,False,,,7.0,,,,,,,,,,,90921.5,93317.0,2.0,398006,33476.56343,32058.74185,1.306201905,103.8825281,Aljunied,Geylang,Central,operational,False,False,"196,30,11,158,14A,158A,12,196A,401,14",10,39990.0,POINT (1.306201905 103.8825281),36,10,5.0,0.7720562817417055,False,4.237082532503504,Raffles Place,0.34899328859060397,0.906040268456376,0.5033557046979866,0.5838926174496645,0.2785234899328859,0.5570469798657718,2816
23,Dakota,CC8,CC8,,,False,,,8.0,,,,,,,,,,,114832.0,101820.0,2.0,397973,34204.0253,32318.17446,1.308547984,103.8890647,Aljunied,Geylang,Central,operational,False,False,"32,30,33,33B,10,31,16,401,16M,30e",10,39990.0,POINT (1.308547984 103.8890647),38,9,6.0,0.7720562817417055,False,4.984850373853625,Raffles Place,0.34899328859060397,0.906040268456376,0.5906040268456376,0.6610738255033557,0.2785234899328859,0.5570469798657718,2479
24,Bayfront,CE1/DT16,CE1,DT16,,True,,,,,,,1.0,16.0,,,,,,282228.0,289490.75,2.0,18957,30867.00927,29368.625030000007,1.281873789,103.8590798,Bayfront Subzone,Downtown Core,Central,operational,False,True,"NR6,502A,97,106,NR1,518,502,97e,518A,133",10,0.0,POINT (1.281873789 103.8590798),26,25,12.0,0.7442420394511063,False,0.8831219081976892,Raffles Place,0.34899328859060397,0.016778523489932886,0.06711409395973154,0.825503355704698,0.2416107382550336,-0.3322147651006712,7734
25,Expo,CG1/DT35,CG1,DT35,,True,,,,,,,,35.0,,,,1.0,,132057.25,132488.0,2.0,485985,42362.60346000001,35285.70839,1.3353825259999998,103.9623747,Xilin,Tampines,East,operational,False,True,"20,118,47",3,1760.0,POINT (1.3353825259999998 103.9623747),15,3,2.0,0.7139682578509452,False,2.7638345626468994,Tampines,0.1174496644295302,0.3355704697986577,0.31543624161073824,0.2046979865771812,0.2114093959731544,0.21812080536912756,596
26,Changi Airport,CG2,CG2,,,False,,,,,,,,,,,,2.0,,101091.5,98673.25,2.0,819661,45201.32039,37729.19338,1.357478974,103.9878836,Changi Airport,Changi,East,operational,True,False,"53A,858,24,858B,27,53,110,34B,34,36",10,10.0,POINT (1.357478974 103.9878836),2,1,0.0,3.4179841314578323,False,4.773682429050028,Tampines,0.34899328859060397,0.053691275167785234,0.5704697986577181,0.013422818791946308,1.0,-0.2953020134228188,116
27,Stevens,DT10,DT10,,,False,,,,,,,,10.0,,,,,,70168.0,57205.25,2.0,257877,27188.22996,33591.66086,1.320065558,103.8260244,Nassim,Tanglin,Central,operational,False,True,"170A,105,190,972A,NR3,960e,NR2,190A,48,960,132,972M,67,972",14,9520.0,POINT (1.320065558 103.8260244),30,22,4.0,1.2482077040465676,False,4.895610882239644,Raffles Place,0.5,0.5201342281879194,0.5838926174496645,0.4697986577181208,0.7651006711409396,0.020134228187919437,1097
28,Rochor,DT13,DT13,,,False,,,,,,,,13.0,,,,,,111988.75,115462.5,2.0,188505,30164.70185,31798.87668,1.303852185,103.8527694,Bencoolen,Rochor,Central,operational,False,False,"170A,131A,56,851e,166,57,851,23,960e,131,48,960,4N,2N,67,980",16,1310.0,POINT (1.303852185 103.8527694),56,49,18.0,0.31684077589378634,False,2.198307018829163,Raffles Place,0.5671140939597316,0.3120805369127517,0.2416107382550336,0.9429530201342282,0.03691275167785235,-0.2550335570469799,7498
29,Downtown,DT17,DT17,,,False,,,,,,,,17.0,,,,,,135764.75,135289.0,1.0,18969,30172.668810000006,29100.20877,1.279446382,103.8528408,Central Subzone,Downtown Core,Central,operational,False,False,"130,186,672,97,670,653,850E,651,671,70,131,97e,502,982E,196A,513,666,133,196,656,970,665,655,162,660,502A,167,652,75,100,661,10e,10,196e,951E,667,654,131A,107,57,668,657,106,400,663",45,880.0,POINT (1.279446382 103.8528408),27,25,14.0,0.3899002278523716,False,0.5424231647905721,Raffles Place,0.953020134228188,0.2785234899328859,0.040268456375838924,0.8489932885906041,0.07046979865771813,-0.674496644295302,7382
